Id,Reputation,DisplayName,Views,UpVotes,DownVotes,Age
1031584,436,Peter Marks,22,1,0,
611797,458,jwj,99,17,14,36
1361981,21,uberrob,5,0,0,
1099702,275,Joe Grasso,74,24,3,
620054,501,mikato,138,320,2,
1861534,6,trpeel,2,0,0,
1507517,26,blicksky,5,0,0,
496969,1399,tobinjim,131,222,1,
2963817,26,user2963817,4,4,0,
1326876,1652,Phorce,449,182,26,
3064192,1,Kate,0,0,0,
3700278,1,user3700278,1,0,0,
2475612,614,i_trope,92,74,5,
3175152,41,sbrown,7,20,0,
1349565,8,C1837,6,0,0,
2073248,798,x-treme,86,153,1,
5235471,18,Digelim,22,0,0,27
781909,3424,jvc26,322,793,23,31
1002175,289,walpen,16,18,4,
2046117,1140,owen79,132,124,17,39
1082527,1829,Brandt Solovij,223,127,15,
3670010,38,Mirko Jovanovic,14,5,0,
1839191,111,fypfyp,18,9,0,
6356581,1,chewbaluba,0,0,0,
6345466,8,Shailaja Jayashankar,5,0,0,
1336736,90,Tedi,21,6,0,36
7509262,1,Beckym,0,0,0,
4221318,1,Geoffrey Chambless,1,0,0,28
5874803,71,Al Neill,6,11,0,
7490485,18,LoniF,9,1,0,
1772517,36,John Carter,7,3,0,
1826295,11,Paloma,5,0,0,
2084671,6,Julio Cabezas,3,0,0,
726766,5922,shennan,341,127,37,
1800440,99,Phil_Martin,22,30,0,37
1912925,342,user1912925,43,24,0,
890905,29,Brandon Lehman,14,7,0,
3132723,16,cege,10,0,0,
4079595,1,puffy,2,0,0,
4239492,1,Sebastian,1,0,0,
3515780,23,roel,0,0,0,
2048929,374,Alium Britt,52,76,0,38
2151788,139,user2151788,48,2,0,
2423198,1009,deltascience,147,203,6,
2092517,165,Chris. Z,47,5,0,
4747870,405,Joonatan Samuel,70,30,4,
4974634,16,JoachimMun,18,0,0,
3011901,81,User18981898198119,9,16,0,
701361,503,Adam,72,14,0,46
5502200,1,user5502200,1,0,0,
3781528,392,user3781528,141,54,0,
3846224,78,luker02,19,10,0,
811921,782,com,82,62,0,
3421980,76,Ofek,22,40,0,
6678298,1,Bismark,0,0,0,
6668632,49,Jonathan H,4,17,0,
5144741,302,whatsTheDiff,30,19,0,
6365274,6,shivam thaman,0,0,0,
2995175,54,user2995175,18,6,0,
7428158,8,user7428158,0,0,0,
3504684,31,Alechan,8,420,0,
1157485,25,Diego,10,3,0,
5735012,58,user85727,29,10,0,
3692502,6,user3692502,0,0,0,
5177806,13,jdub Kim,3,0,0,
1128560,21,Marv Trott,11,0,0,94
1507947,11,user1507947,3,0,0,
292477,16862,Krumelur,897,635,47,
148397,302,Gadi,48,66,0,
3386065,3,user3386065,11,0,0,
2201180,6,Chris Lorenz,1,0,0,
5833504,4,Abhi Shet Aachar Yeah,6,0,0,
6570276,6,Adnan Hussain,4,0,0,
2878256,608,Sujith Gunawardhane,108,54,2,35
923657,1305,pragmatic_programmer,268,445,15,
6359,1976,David Lay,282,166,12,36
1692965,2017,tvl,39,171,3,32
1966207,284,arunpandiyarajhen,177,109,1,28
1344789,4148,dnlbrky,132,694,4,
704499,585,morgler,38,80,2,
2539228,6,Alisha,1,0,0,
1127924,714,Logarr,91,475,81,32
1876046,448,Ivan Veselinov Nedelchev,58,11,0,31
3108248,6,pdeglon,1,0,0,46
1047897,139,Sharath Chandra,51,16,0,
4029477,503,Yaseen Shareef,178,22,4,27
1680484,157,A3O,111,13,1,54
3792450,20,deve cot,6,0,0,28
3287921,1239,Tarlen,159,117,5,
1470498,15,JoshuaBr,7,2,0,
2604948,113,susi87,18,1,0,
4996188,11,James Cassidy,0,0,0,
5492524,6,L. Adam,0,0,0,
4752931,290,Quebrando Cabeca,8,6,0,
5878831,1,Espi,1,0,0,
6170706,1,Elrohir,0,0,0,
5768697,3,David Kameka,8,0,0,
6252746,8,Prankit Ra,18,0,0,
6452969,14,Hiu leong Ng,9,0,0,
3272465,45,aleks1217,18,4,0,41
6823705,3,Stefan W,1,0,0,
3247042,26,user3247042,8,2,0,
1731940,21,user1731940,32,6,0,
6251731,6,DoctorPancake,3,0,0,
4382404,53,sage,13,1,0,
6905456,41,tuấn anh phạm,53,10,0,
7356073,4,Jamie,2,0,0,
5060710,6,Daniel Kirmse,2,0,0,
1820354,1,user1820354,0,0,0,
4270611,113,Developer Webs,45,6,0,
4350650,159,Mayeul sgc,51,31,0,
7232533,1,ClearCell,1,0,0,
1192435,16,Timothy Shenton,5,0,0,
148051,667,jeromeyers,131,191,1,
1690098,174,Glenn,20,37,4,
262523,371,Padma,128,53,0,
2674368,34,M Akela,81,29,0,
3282495,40,priyeshwagh777,40,10,0,29
1036903,151,Vinod,168,129,0,
5420256,1,Dakez,0,0,0,
5857460,6,David B,1,0,0,
5647736,74,sch56,7,3,0,
4618365,56,user112752,27,7,0,
6634696,1,Barry Farrimond,3,0,0,
6896979,1,MatoriNaBelom,2,0,0,27
7570228,1,JoeR,0,0,0,
1056644,393,Chris Pillen,112,74,3,
539484,663,OnTheFly,1417,892,2165,
908651,36,Sam,13,0,0,
23569,2278,Marc Bernier,321,100,14,
502081,29,Swan911,21,5,0,34
1282234,52,pcapelo,7,3,0,
738068,1485,Ryan Burnham,82,34,0,
1361882,55,andrew,10,7,0,
919036,916,sharmila,324,67,2,
1267123,116,MonkeyMagiic,30,9,0,
65912,739,dattebayo,174,16,1,
1137199,15914,dotNET,2526,2842,79,39
1314893,54,huzefa p,15,0,0,
1924530,181,CuriousMarc,44,148,0,
2267497,16,user2267497,1,0,0,
1069456,565,Chaka,224,5,0,
1209640,507,ISZ,66,8,0,
1200218,315,CHollman82,74,25,0,
581328,174,himanshu,109,8,0,
731620,37710,ratchet freak,2545,246,12,
2238606,1,Jan Jerell,3,0,0,32
2600181,199,Nik Z.,17,3,0,
619177,3801,sigil,532,626,5,
1470533,159,Rich von Lehe,53,121,0,
921054,6911,Pavel Voronin,744,2259,1,35
1070291,21602,Luke McGregor,1824,1368,97,33
1626632,3732,Helmut Grohne,341,174,14,
787157,717,Gavin Sutherland,49,105,0,41
1430171,56,romi,27,152,0,
2300137,57,Carl Sturtivant,333,0,0,
2271495,125,Virus_7,22,23,0,31
2248441,94,user2248441,39,12,0,
354018,7345,fabb,391,274,35,
524861,3408,Ivan-Mark Debono,655,299,17,
1557304,725,Stefan,199,161,14,
4148144,117,Kimimaru,8,5,0,
8741,13550,ProfK,5919,1455,156,49
251680,7882,santiagoIT,524,610,2,
1530004,3481,Cole9350,261,408,324,26
3271820,74,SammuelMiranda,24,9,0,32
2005616,2620,Ryan Langton,383,62,5,42
754494,6928,Cliff Ribaudo,442,275,37,
1405130,726,Paradiesstaub,41,102,8,
224885,350,Justin Hamilton,25,46,2,35
1202683,4490,hariszaman,340,76,6,
2319923,46,Simo Ferrari,2,2,0,
351025,2717,MrFox,426,615,18,31
704008,6588,Pranav Singh,1733,827,322,31
5730415,88,Jagadeesan,21,14,0,
10468,12136,DarenW,1143,5647,372,58
2460631,418,SilentSin,40,13,1,
4997,23474,gabr,3833,3088,93,49
1560623,2688,feO2x,208,1145,3,31
2694172,420,hansottowirtz,57,54,0,20
5713672,1,GilU,2,0,0,
746100,3051,Doug Null,761,1045,18,62
432509,9980,ideasman42,1046,2002,159,
5914702,26,Alex Bishop,30,1,0,
1105889,654,Volker,65,43,5,
3183035,21,Blz,1,2,0,
1766119,450,Abdelrahman Eid,89,658,6,21
1453694,91,Rich Jahn,13,0,0,
1512091,2025,Gordon Dove,118,128,16,55
3262667,2092,Oleg Sherman,70,233,1,
123147,629,BigPigVT,51,22,0,
5591881,1,Rahul KR Das,1,0,0,
945871,1548,Igor,652,46,16,
1251750,109,Bijesh,37,23,0,
2548937,4212,Joseph,336,317,13,29
1202683,4490,hariszaman,340,76,6,
7413028,6,Tony,0,0,0,
77764,4581,Kromster,1001,3221,547,
7551199,1,Anthony Harrison,1,0,0,
1910735,3370,Dawood Awan,622,593,61,27
2031820,1269,Ali,554,1727,2,29
1278545,2041,mckeejm,134,415,2,38
1635206,22,dva,19,0,0,
2015393,1,Jean-Paul M,1,0,0,
184466,373,nagates,125,188,5,31
645613,916,Steve,78,255,2,47
2637251,95,sunnyleevip,16,19,0,27
1459009,1012,kingcoyote,119,123,20,33
1965939,11,David,15,0,0,
2776780,50,relapsn,21,4,0,
3603092,6,user3603092,2,0,0,
916387,548,Jānis Gruzis,170,227,12,27
3781961,42,Mahtab,26,1,0,28
650492,56700,Johan,5681,4434,1087,46
1626220,1050,Kong Hantrakool,73,25,0,
5553999,9,Rafał Bolek,2,0,0,
827484,175,bettermanlu,67,4,0,
251276,3465,Colin,174,89,1,35
1088224,83,Sas,66,45,0,
5862538,1,luzhaokuan,1,0,0,
6217993,1,Kun,0,0,0,
524504,692,masterxilo,179,839,33,
5520074,19,Assaf Sapir,2,6,0,
3577745,2567,javaLover,400,497,81,
5386374,2825,Justin Time,312,1888,12,
3381858,144,atulya,34,11,0,
2801364,127,im_infamous,33,7,0,
1054322,1378,MatrixManAtYrService,176,221,0,31
7211497,26,Nguyễn Thanh Vũ,29,1,0,
7217855,79,Lemonbonbon,24,15,0,
1534552,63,mootez,37,0,0,
1737848,93,Mahesh Mahindrakar,25,13,0,33
133747,5905,huggie,443,1266,3,
1988509,264,Sinn,24,1,0,
2713550,151,Tschwen,5,7,0,
2316884,405,thomann061,27,13,4,
1927794,984,Arkady,207,143,15,33
2183216,159,user2183216,32,14,0,
4623360,15,israel.sincro,5,0,0,
5802818,37,Luiz Agner,8,6,0,
5843036,1,Chaitanya Uj,1,0,0,
6103040,4761,F. Privé,456,338,34,
1236547,26,El Ronaldo,7,3,0,
7619808,16,logankilpatrick,8,5,0,
